Track Name,Artist,Streams,URL
Despacito - Remix                                                           ,Luis Fonsi       ,66450030,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
Shape of You                                                                ,Ed Sheeran       ,61016423,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,57241917,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
Felices los 4                                                               ,Maluma           ,49162134,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
rockstar                                                                    ,Post Malone      ,39778875,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
Mi Gente                                                                    ,J Balvin         ,31449256,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
rockstar                                                                    ,Post Malone      ,23531930,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
Bank Account                                                                ,21 Savage        ,18475827,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
Vai malandra (feat. Tropkillaz e DJ Yuri Martins)                           ,Anitta           ,17819871,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
Look What You Made Me Do                                                    ,Taylor Swift     ,11223311,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
HUMBLE.                                                                     ,Kendrick Lamar   ,10881356,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
Deu Onda                                                                    ,MC G15           ,9382736,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
1-800-273-8255                                                              ,Logic            ,9110500,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
Versace On The Floor                                                        ,Bruno Mars       ,8270318,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
Too Good At Goodbyes - Edit                                                 ,Sam Smith        ,8258170,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
Downtown                                                                    ,Anitta           ,7865382,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
Unforgettable                                                               ,French Montana   ,7566845,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
Senza Pagare VS T-Pain                                                      ,J-AX             ,7468456,https://open.spotify.com/track/0YOUE1TlkgSbkNvWkZkEVp
