Streams,Country
1090375592.0,ar
109272973.0,at
1363292550.0,au
102423996.0,be
49918921.0,bo
3246489403.0,br
623462297.0,ca
87387331.0,ch
1021478507.0,cl
173141051.0,co
70377532.0,cr
48632113.0,cz
1148819929.0,de
186763690.0,dk
44150460.0,do
115538743.0,ec
6071287.0,ee
1722901603.0,es
198457016.0,fi
787918341.0,fr
1242737684.0,gb
34569564.0,gr
44361979.0,gt
71825882.0,hk
30932280.0,hn
46120215.0,hu
318461874.0,id
66888407.0,ie
14655847.0,is
797297397.0,it
75193016.0,jp
7972806.0,lt
2830426.0,lu
9126787.0,lv
2754619309.0,mx
75978740.0,my
383078179.0,nl
372124446.0,no
151228529.0,nz
33582509.0,pa
523331245.0,pe
1033972925.0,ph
130888681.0,pl
166656276.0,pt
64945912.0,py
1942768996.0,se
116662577.0,sg
27907217.0,sk
34460760.0,sv
290111022.0,tr
111342220.0,tw
9713269860.0,us
63801590.0,uy
